,financials,consumer_staples,materials,health_care,consumer_discretionary,technology,financial_services,utilities,industrials,energy,real_estate
06/18/2013,-0.035321441742571257,-0.020213871684355907,-0.03723755390145413,-0.04116927535227016,-0.0681772005658467,-0.024581859188056998,-0.02611573237219458,-0.03390357672669931,-0.026077965982904634,-0.02588903611420221,-0.03495869575572585,
03/18/2014,-0.04315125454673723,-0.02185890515149904,-0.04107675347215074,-0.06011866333577774,-0.06732972531635617,-0.029018909341906554,-0.0287525268740995,-0.03674049001041412,-0.03097841533058758,-0.024564995557255807,-0.04240214084660899,
03/15/2011,-0.037188189045597154,-0.025696838536991375,-0.03889707745253461,-0.047628564208390956,-0.05709723263857968,-0.032150661183959955,-0.029835850620696124,-0.03400466743547196,-0.02780325902893221,-0.0309182236475947,-0.04200524265286424,
10/28/2014,-0.03924515616916309,-0.024886617407751426,-0.03807693650581197,-0.04863936255123647,-0.06691462052044683,-0.029466175047043762,-0.029178687186283265,-0.03419572629616852,-0.028282994553686287,-0.027075474127616978,-0.03188771200038297,
04/24/2012,-0.03548133161873458,-0.02110604101073712,-0.03653565365964614,-0.03629533005056514,-0.0504565419522434,-0.024206155059213703,-0.027965823745279048,-0.032626557728587004,-0.026870552355234615,-0.025153292326976103,-0.03899377740335232,
01/27/2015,-0.030877176107965334,-0.016615786591941052,-0.02742945459461059,-0.038420897807462266,-0.04131417568966674,-0.020559424238153955,-0.022139660774928533,-0.027805676611461928,-0.0232579106100894,-0.02178270084882704,-0.023384310473590523,
01/29/2013,-0.03429424698491916,-0.016167900433735838,-0.028204553740632722,-0.034119327167722736,-0.0371590741157337,-0.02728110722864026,-0.024172106743019738,-0.029549455364982054,-0.025188600115386327,-0.020435664134575954,-0.030333334814641316,
12/16/2014,
01/24/2012,-0.03491888151261667,-0.0180676234323192,-0.028182797460551016,-0.03173892338893926,-0.04251221833003568,-0.02928181064328589,-0.025373711153889818,-0.028121829584274796,-0.024856050215991042,-0.021163600875525018,-0.03133810895812716,
01/26/2016,-0.028430210741253372,-0.019256904532626216,-0.03248884494272421,-0.038270277147472005,-0.048912824413221305,-0.020169496912589863,-0.02350447666468005,-0.02703671188245653,-0.022832759209751027,-0.024866916638408152,-0.027772243581483877,
11/01/2011,-0.04221026953161767,-0.025186430442785814,-0.04211979918579534,-0.03952445859653225,-0.06518478441075995,-0.03078462578105664,-0.034573760063629215,-0.039291755499053595,-0.031122623187249933,-0.02926756351587852,-0.04096739282066061,
06/19/2012,-0.03840111095475693,-0.023246465409039754,-0.03555249941460654,-0.041730388142015684,-0.0505366856373684,-0.02653039675199814,-0.030720849358965185,-0.030637062580789833,-0.02564916897855656,-0.02762345668271532,-0.0301777768950484,
09/12/2012,-0.04446417183640367,-0.027963761631665824,-0.034583686345543395,-0.04149689392092899,-0.05766188888937761,-0.027513626297307806,-0.03111158917438859,-0.033638956500688884,-0.030271110979581652,-0.025720698341805237,-0.038955969023484784,
09/20/2011,-0.04132371515119988,-0.02525573964674185,-0.03328909583710708,-0.04217063138233243,-0.056369028429127985,-0.029596861282918056,-0.029855478085113494,-0.03421989522176181,-0.03029168709814059,-0.023861274510336743,-0.043222375668145206,
06/16/2015,-0.03354569751861044,-0.02100061256278766,-0.03346424020437528,-0.03915680743558982,-0.05175054717127744,-0.02490755308458453,-0.024714667194914223,-0.03241432383300927,-0.024504492692415156,-0.024793994804134713,-0.032443692711784565,
06/21/2011,-0.04137723986973755,-0.02369687893856449,-0.04116608219121777,-0.04055302641605618,-0.057875928358386085,-0.032023668172318304,-0.03186849101082894,-0.035602329450388284,-0.028318280113360947,-0.02946535303200333,-0.04281462720904296,
01/28/2014,-0.01892542288851933,-0.011616492295340322,-0.020406261431531215,-0.02929811291304126,-0.03086070972672118,-0.01595966797486583,-0.014370932851337066,-0.018574125239187538,-0.016285425310280585,-0.013131994485616597,-0.020594721232007784,
10/29/2013,-0.044444417952727445,-0.024886438710293238,-0.041597430905440075,-0.05040464404467221,-0.06594940092120992,-0.029083152671875664,-0.028692746375549957,-0.037160417774629584,-0.030398104182640332,-0.02654102472194955,-0.03750888840567866,
09/16/2014,-0.042377410860536625,-0.021402995369376107,-0.0375965242656297,-0.05778839004553333,-0.0689830128030739,-0.027509320371411166,-0.026619936152521742,-0.033446216010656594,-0.029100967877207857,-0.025749168711159197,-0.0361161983779642,
01/25/2011,-0.03520808095829755,-0.019545913120956358,-0.029348047654848754,-0.0323874002810631,-0.039724045879612715,-0.03138597511816751,-0.027374894184059254,-0.029031256657080593,-0.024799755625507496,-0.01968628528276926,-0.03321377159422658,
12/17/2013,-0.03919531029429023,-0.0258129683630635,-0.03899518632895294,-0.045714898021829924,-0.07322574373952583,-0.02554974447338133,-0.02590101912331589,-0.031058331627356488,-0.03095206029078919,-0.023836654492345098,-0.03551780055963723,
09/16/2015,-0.032740272384490336,-0.026006457288603305,-0.03619894094417009,-0.045251660929537856,-0.07571082994313257,-0.028209586343072475,-0.02820183148752795,-0.030877393998506555,-0.027880515918019797,-0.0245429961846329,-0.03411335488248868,
03/19/2013,-0.0417978431746413,-0.022489982217187298,-0.03694050793371759,-0.0457491815163491,-0.049078351060309645,-0.027734901853262977,-0.026790039107963272,-0.03676613098169604,-0.029407391193745018,-0.026827350098501124,-0.03911062855493436,
08/09/2011,-0.035841210316999376,-0.025086638095358382,-0.037459281056030864,-0.04097716943165298,-0.06609867844367297,-0.029471095760554823,-0.031725357708801985,-0.03446191070098883,-0.028321861044603058,-0.02832292989231364,-0.0434943717507039,
06/17/2014,-0.04044359558890527,-0.022287382467060378,-0.04281586425602745,-0.04717384571211335,-0.05804381695062225,-0.028891505382675126,-0.029174139928890352,-0.03328750095320679,-0.027480378502569014,-0.02476256069350653,-0.038366682291696215,
10/23/2012,-0.036003745468145325,-0.030936633973059718,-0.03618353758729069,-0.037164437716771345,-0.057479370982730975,-0.02501717676012454,-0.026171330458308394,-0.03190871992044219,-0.027170771001702402,-0.025953323941822735,-0.03319845218960175,
12/11/2012,-0.041520814502889844,-0.027448962479885368,-0.03276487739618866,-0.044992270199035185,-0.06310787644598981,-0.02902927146112304,-0.032545157257452426,-0.03166657910309959,-0.029117094501689565,-0.027692289334900328,-0.03571920292214185,
04/30/2013,-0.04384177645341708,-0.019625701648036703,-0.037434589203704856,-0.042465357140045144,-0.057674900652301964,-0.02836139904126231,-0.03089076895411749,-0.036825337838331855,-0.028801601194778308,-0.02582659613369287,-0.04141436490270459,
07/28/2015,-0.03495457777573523,-0.020383679479169355,-0.03743947459256285,-0.0446385612897969,-0.05531844907354786,-0.025326038499407885,-0.0276480744085243,-0.031358577359551366,-0.02452562572038063,-0.025704374709630187,-0.029103951174738497,
03/13/2012,-0.03447267223609666,-0.019318784600984105,-0.03230546622472697,-0.04267967818346036,-0.049649363525804034,-0.02606732681510548,-0.027822116720670236,-0.029921709477275703,-0.023764564950332922,-0.02242243021171729,-0.036020331498270754,
12/12/2011,-0.037166520506885334,-0.02381803148817141,-0.031697782807848685,-0.04212806934072642,-0.05589989181544577,-0.025732534159735962,-0.029041938398399043,-0.030674104179662473,-0.028884503830928217,-0.02679062294408919,-0.03901470901519241,
12/15/2015,-0.03562941486935506,-0.027044639801189246,-0.03603455475652043,-0.04017660166903569,-0.07265077197745451,-0.02348292960734535,-0.025167060404766264,-0.03262210595382298,-0.02484998862756767,-0.030116751863676027,-0.03772136367537371,
10/27/2015,-0.03452166160334956,-0.02593430063572015,-0.03386748569730284,-0.04309248654498972,-0.06888427074689889,-0.02763341007478042,-0.029135109504633057,-0.03312061518455693,-0.02693294647097014,-0.02389780361038939,-0.02976562421212327,
04/29/2014,-0.04013216204544487,-0.023882130025540172,-0.04116853895216881,-0.04509613928650334,-0.058263193113609224,-0.03062634854695864,-0.030882019987191516,-0.036993965252381286,-0.03020464924378789,-0.026013910066590817,-0.042316342621454436,
07/31/2012,-0.04090719944058021,-0.02853395186256065,-0.03500966297149861,-0.04326760038185049,-0.061768173599263544,-0.029013786285298267,-0.032844275506468616,-0.03270408065682223,-0.028653420860375953,-0.02775608907052156,-0.033541759364759935,
09/17/2013,-0.04710917930455363,-0.022189534054811957,-0.04163645498170493,-0.043895787094303244,-0.07345035074383369,-0.026864751702534342,-0.027925894371799615,-0.03325534623724903,-0.029423503445896143,-0.023591214650170514,-0.04137226912742859,
04/26/2011,-0.03765945543298073,-0.022664041851398517,-0.04293494037382544,-0.04790377326424836,-0.04859475787121307,-0.029841268253727345,-0.030142265676047116,-0.04005648178408424,-0.02744446910581786,-0.029996474771244962,-0.04087527916258224,
07/29/2014,-0.03149465970041862,-0.017310971496269943,-0.029009992493455126,-0.03913600011708189,-0.050483419421698324,-0.02393503594203014,-0.025249045402300083,-0.02679490157778978,-0.021878114050742137,-0.01911869079381045,-0.031378642688614046,
03/17/2015,-0.038291901320638796,-0.020510889816565906,-0.039381363890637185,-0.048335519647027855,-0.05297839101684232,-0.025935195544106626,-0.028474882949094373,-0.0363683168590605,-0.027370730211079386,-0.026746759664968246,-0.036203064005351775,
